"No","Stem","Choice_1","Choice_2","Choice_3","Choice_4","AnswerIndex","AnswerLabel"
"1","산업안전보건법상관리감독자의기본적인역할로가장적절한것은?","회사의인사노무업무총괄","생산성과품질을향상시키기위한설비투자결정","작업자의작업방법에대해지시하고안전을확보하는일","안전보건관리책임자의업무를대리수행하는일","3","작업자의작업방법에대해지시하고안전을확보하는일"
"2","다음중작업장내유해 ·위험요인의예시로보기어려운것은?","미끄러운바닥","조명이어두운작업공간","정기적인근로자면담","보호구없이진행되는용접작업","3","정기적인근로자면담"
"3","다음중재해예방을위한기본 3원칙에해당하지않는것은?","제거 (Substitution)","제어 (Control)","대체 (Elimination)","격리 (Separation)","1","제거 (Substitution)"
"4","다음중관리감독자가작업지시를내릴때준수해야할사항으로가장부적절한것은?","안전작업방법을설명한다","필요한보호구착용을지도한다","작업자가숙련되었으므로별도설명없이진행시킨다","유해물질이사용될경우주의사항을전달한다","3","작업자가숙련되었으므로별도설명없이진행시킨다"
"5","다음중보호구사용지도가특히중요한작업환경은어디인가?","고소작업 (높은곳에서작업)","지게차운전시하역작업","사무실문서작업","점심시간휴게실","1","고소작업 (높은곳에서작업)"
"6","근로자가작업중감전사고를당했을때가장먼저해야할응급조치는?","심폐소생술시행","즉시 119 신고","전원차단","상급자에게보고","3","전원차단"
"7","작업자가귀마개를착용하지않고시끄러운기계옆에서작업하고있다면, 관리감독자가가장먼저해야할일은?","그냥두고지나간다","귀마개를건네주고착용을지도한다","작업자에게벌점을준다","기계를정지시키고작업자를퇴근시킨다","2","귀마개를건네주고착용을지도한다"
"8","작업자가사다리위에서일할때, 사다리가미끄러지지않도록해야하는이유는?","보기좋게정리하기위해","사다리가망가지지않도록","낙상사고를예방하기위해","작업시간을단축하기위해","3","낙상사고를예방하기위해"
"9","아래중보호구에해당하지않는것은무엇인가요?","안전모","안전화","면장갑","휴대전화","4","휴대전화"
"10","무거운자재를들어올릴때가장적절한방법은?","허리를굽혀한번에들어올린다","혼자서무조건빠르게처리한다","다리힘을이용해천천히들어올린다","발끝으로밀어들어올린다","3","다리힘을이용해천천히들어올린다"
"11","작업현장에서전선이바닥에어지럽게널려있을경우, 어떻게해야할까요?","작업자들이피해서다니도록한다","방치해도문제가되지않는다","발로차서한쪽으로몰아둔다","정리하거나덮개를씌워걸려넘어지지않게한다","4","정리하거나덮개를씌워걸려넘어지지않게한다"
"12","관리감독자의의무가아닌것은?","작업중지명령및재개지시","작업자의안전보건교육실시및확인","근로자의근태기록관리","보호구착용및사용상태점검","3","근로자의근태기록관리"
"13","산업안전보건법상관리감독자교육대상자는?","현장근로자중선임된반장","일용직근로자","현장작업자의직계가족","협력업체외주계약직","1","현장근로자중선임된반장"
"14","산업안전보건법에따른작업중지명령이가능한상황은?","점심시간에무단이탈","기계고장으로생산이늦어질경우","긴급하게생명을위협하는급박한위험발생시","작업자간에말다툼이발생한경우","3","긴급하게생명을위협하는급박한위험발생시"
"15","관리감독자교육은언제이수해야하는가?","채용후 3개월이내","선임된후 1개월이내","다음해부터","산업재해가발생한후","2","선임된후 1개월이내"
"16","작업중화학물질에노출될경우착용해야하는보호구는?","방독면","안전모","안전화","귀마개","1","방독면"
"17","산업안전보건법상근로자의의무로옳지않은것은?","보호구착용","안전수칙준수","작업환경개선요구","사고발생시보고","3","작업환경개선요구"
"18","작동중인프레스기계의이물질을맨손으로제거하려고할때, 관리감독자가해야할조치는?","작업자의숙련도를믿고그냥둔다","빠르게처리하도록독려한다","전원을차단한후제거하게한다","기계작동속도를낮춘다","3","전원을차단한후제거하게한다"
"19","근골격계질환예방을위한올바른작업방법은?","무거운자재는혼자서신속히처리한다","반복작업은가능한한오래지속한다","높낮이조절작업대및작업보조도구를활용한다","무릎을굽혀오랫동안바닥에서작업한다","3","높낮이조절작업대및작업보조도구를활용한다"
"20","화학물질사용전반드시확인해야할자료는?","물질의냄새","근무자의연령","물질안전보건자료 (MSDS)","생산량","3","물질안전보건자료 (MSDS)"
"21","전기감전사고예방을위한관리감독자의적절한행동은?","근로자가장갑만착용하면문제없다","젖은손으로작업하지않도록지도한다","배선이헐거워도방치한다","콘센트근처에물건을적치하게한다","2","젖은손으로작업하지않도록지도한다"
"22","다음중작업자가기계작업중접촉할경우신체에위해를입힐수있는 ‘위험점’에해당하지않는것은?","회전하는기계의축","물체를눌러가공하는프레스의하강부","컨베이어벨트의롤러접합부위","사무실책상모서리","2","물체를눌러가공하는프레스의하강부"
"23","다음중 ‘협착점’에해당하는예로가장적절한것은?","작업중벽면에부딪혀생긴멍","회전하는기계축에옷이감긴경우","벨트와풀리사이에손이끼인경우","칼날에손이베인경우","2","회전하는기계축에옷이감긴경우"
"24","다음중 ‘회전점’(접촉시감김위험이있는부위)의예로가장적절한것은?","유압프레스의작동위치","벨트가왕복운동하는평행이송기","노출된동력전달축이빠르게회전하는상황","작업자가계단에서미끄러지는상황","2","벨트가왕복운동하는평행이송기"
"25","손이끼일위험이있는 ‘협착점’을선택하시오.","컨베이어벨트와롤러사이","프레스기계상부안전가드","회전축보호덮개안쪽","작업대위사무용품","1","컨베이어벨트와롤러사이"
"26","산업안전보건법상사업주는근로자의안전과건강을위해무엇을제공해야하는가?","안전보호구","휴게시간","산업재해보험","직무교육","3","산업재해보험"
"27","근로자가작업중보호구를착용해야하는상황으로가장적절한것은?","화학물질을취급할때, 법령과작업지침에서요구되는경우","점심시간과개인휴식시간에만","숙련근로자가기계작업시혼자조작할때는생략가능","야근시근무시간연장때문에착용하지않아도된다","1","화학물질을취급할때, 법령과작업지침에서요구되는경우"
"28","위험성평가의목적은무엇인가?","사고예방","재해율감소","생산성향상","법적요구사항충족","3","생산성향상"
"29","기계에설치된안전장치의역할로적절한것은?","작업속도증가","근로자보호","재료비용절감","생산성감소","1","작업속도증가"
"30","MSDS(Material Safety Data Sheet)는무엇을안내하는문서인가?","화학물질의안전사용과응급조치","근로자근무시간","기계수리방법","생산량기록","1","화학물질의안전사용과응급조치"
"31","직무스트레스가과도할경우나타날수있는결과는?","산업재해발생가능성증가","작업속도향상","법적책임감소","보호구불필요","2","작업속도향상"
"32","산업재해발생시사업주의의무가아닌것은?","즉시보고","재발방지조치","피해근로자퇴직처리","사고기록보관","2","재발방지조치"
"33","작업환경측정의목적은무엇인가?","근로자건강보호및환경개선","작업속도향상","기계고장예방","생산계획수립","2","작업속도향상"
"34","근로자에게작업환경에맞는보호구를적절히제공하지않아산업재해가발생한경우, 사업주는어떤책임을질수있는가?","법적책임 (형사처벌포함) 및과태료부과","생산성과관계없이책임없음","근로자개인에게보호구구입부담전가","작업중지명령이자동으로면제됨","1","법적책임 (형사처벌포함) 및과태료부과"
"35","안전보건관리자가산업안전보건법에따라수행해야하는업무가아닌것은?","위험성평가실시","보호구지급확인","법령위반근로자처벌","안전교육실시","1","위험성평가실시"
"36","사업주는위험성평가를실시할때누구와함께해야하는가?","근로자대표","고객","협력업체","정부공무원","1","근로자대표"
"37","근로자가위험작업을수행할때, 관리감독자가보호구착용을반드시확인해야하는이유로가장적절한것은?","근로자의안전보호및법적의무준수","작업속도를높이기위해","생산량증가를위해","작업후청소시간을단축하기위해","1","근로자의안전보호및법적의무준수"
"38","기계안전장치가제대로작동하지않으면발생할수있는사고는?","절단 ·끼임등의신체상해","생산량증가","근로자근무시간단축","품질향상","1","절단 ·끼임등의신체상해"
"39","MSDS에반드시포함되어야하는정보는?","화학물질성분, 유해성, 응급조치방법","근로자급여","기계사용법","안전교육일정","1","화학물질성분, 유해성, 응급조치방법"
"40","한작업반에서반복적 ·고강도업무로근로자들이잦은피로와불만을호소하고있다. 관리감독자가즉시우선적으로수행해야할조치로가장적절한것은?","작업순서와업무량을조정하고, 휴식시간제공및근로자의견수렴","작업속도향상과근로시간연장으로목표달성","보호구점검만실시하고, 작업환경문제는별도조치","작업환경오염을방치하고생산목표를우선","1","작업순서와업무량을조정하고, 휴식시간제공및근로자의견수렴"
"41","산업재해발생시근로자가취할수있는권리로적절한것은?","치료및요양","즉시퇴직","보너스지급요구","작업시간단축","2","즉시퇴직"
"42","작업환경측정항목에포함되지않는것은?","소음, 진동, 유해물질농도","기계고장횟수","온도, 습도","환기상태","1","소음, 진동, 유해물질농도"
"43","안전보건교육에서다루어야하는내용으로적절한것은?","보호구사용법과위험예방","근무평가방법","급여계산방법","생산목표","3","급여계산방법"
"44","위험성평가결과에따라수행하는조치가아닌것은?","위험요인제거또는감소","근로자교육","사고은폐","안전장치설치","1","위험요인제거또는감소"
"45","사업장이산업안전보건법을위반했을때받을수있는조치로맞는것은?","과태료, 시정명령, 형사처벌","근로자보너스지급","생산량증가","휴게시간단축","1","과태료, 시정명령, 형사처벌"
"46","작업장에서보호구를제대로착용하지않으면가장먼저발생할수있는문제는?","신체상해","생산량증가","작업속도향상","휴게시간단축","2","생산량증가"
"47","기계주변에서작업할때안전수칙중올바른것은?","안전장치를제거하고작업한다","장갑이나보호구를착용하고작업한다","기계전원을무시하고즉시작동한다","안전교육을받은근로자는규칙을지킬필요없다","1","안전장치를제거하고작업한다"
"48","다음중크레인에설치되는방호장치에해당하지않는것은무엇인가?","냉방용에어컨","하강속도제한장치","운전실안전문","과부하방지장치","1","냉방용에어컨"
"49","작업환경측정에서확인하는항목으로올바른것은?","소음, 온도, 유해물질농도","근로자나이","생산계획","휴게시간","3","생산계획"
"50","위험성평가후개선조치에해당하지않는것은?","위험요인제거","보호장치설치","사고은폐","근로자교육","1","위험요인제거"
"51","직무스트레스가심한근로자에게필요한조치는?","충분한휴식과작업환경개선","작업시간연장","보호구미지급","생산목표상향","1","충분한휴식과작업환경개선"
"52","산업재해가발생했을때, 근로자가먼저해야하는일은?","즉시상급자에게사고를보고하고필요한응급조치를받는다","생산을계속진행하여작업지연을최소화한다","기계상태를점검하고이상이없으면작업을재개한다","보호구를반납하고다른작업으로이동한다","1","즉시상급자에게사고를보고하고필요한응급조치를받는다"
"53","보호구를선택할때가장중요한기준은?","작업환경과위험에맞는지","색상과디자인","생산량증가여부","개인취향","1","작업환경과위험에맞는지"
"54","기계안전장치를점검할때올바른방법은?","정기적으로기능을확인하고고장시수리","매번제거하고작업","근로자대표가아닌사람에게만점검","생산량우선으로점검","1","정기적으로기능을확인하고고장시수리"
"55","MSDS에있는응급조치방법을무시하면발생할수있는일은?","사고확률과피해증가","작업속도향상","생산량증가","근로자급여인상","1","사고확률과피해증가"
"56","크레인작업시안전을위해설치해야하는장치로옳은것은?","과부하방지장치","속도증가장치","생산량표시장치","조명밝기조절기","1","과부하방지장치"
