"no","stem","choice_1","choice_2","choice_3","choice_4","answer_index"
"1","산업안전보건법상 관리감독자의 기본적인 역할로 가장 적절한 것은?","회사의 인사노무 업무 총괄","생산성과 품질을 향상시키기 위한 설비투자 결정","작업자의 작업방법에 대해 지시하고 안전을 확보하는 일","안전보건 관리책임자의 업무를 대리 수행하는 일","3"
"2","다음 중 작업장 내 유해 ·위험요인의 예시로 보기 어려운 것은?","미끄러운 바닥","조명이 어두운 작업공간","정기적인 근로자 면담","보호구 없이 진행되는 용접작업","3"
"3","다음 중 재해예방을 위한 기본 3원칙에 해당하지 않는 것은?","제거 (Substitution)","제어 (Control)","대체 (Elimination)","격리 (Separation)","1"
"4","다음 중 관리감독자가 작업지시를 내릴 때 준수해야 할 사항으로 가장 부적절한 것은?","안전작업방법을 설명한다","필요한 보호구 착용을 지도한다","작업자가 숙련되었으므로 별도 설명 없이 진행시킨다","유해물질이 사용될 경우 주의사항을 전달한다","3"
"5","다음 중 보호구 사용 지도가 특히 중요한 작업환경은 어디인가? ✅ 정답: ①","고소작업 (높은 곳에서 작업)","지게차 운전 시 하역 작업","사무실 문서작업","점심시간 휴게실","3"
"6","근로자가 작업 중 감전 사고를 당했을 때 가장 먼저 해야 할 응급조치는?","심폐소생술 시행","즉시 119 신고","전원 차단","상급자에게 보고","3"
"7","작업자가 귀마개를 착용하지 않고 시끄러운 기계 옆에서 작업하고 있다면, 관리감독자가 가장 먼저 해야 할 일은?","그냥 두고 지나간다","귀마개를 건네주고 착용을 지도한다","작업자에게 벌점을 준다","기계를 정지시키고 작업자를 퇴근시킨다","2"
"8","작업자가 사다리 위에서 일할 때, 사다리가 미끄러지지 않도록 해야 하는 이유는?","보기 좋게 정리하기 위해","사다리가 망가지지 않도록","낙상사고를 예방하기 위해","작업시간을 단축하기 위해","3"
"9","아래 중 보호구에 해당하지 않는 것은 무엇인가요?","안전모","안전화","면장갑","휴대전화","4"
"10","무거운 자재를 들어올릴 때 가장 적절한 방법은?","허리를 굽혀 한 번에 들어올린다","혼자서 무조건 빠르게 처리한다","다리 힘을 이용해 천천히 들어올린다","발끝으로 밀어 들어올린다","3"
"11","작업 현장에서 전선이 바닥에 어지럽게 널려 있을 경우, 어떻게 해야 할까요?","작업자들이 피해서 다니도록 한다","방치해도 문제가 되지 않는다","발로 차서 한 쪽으로 몰아둔다","정리하거나 덮개를 씌워 걸려넘어지지 않게 한다","4"
